Date, Open, High, Low, Close
11/08/17, 28950.50, 29123.44, 28885.07, 28907.60
11/07/17, 28715.40, 29017.40, 28715.07, 28994.34
11/06/17, 28616.35, 28650.79, 28137.77, 28596.80
11/03/17, 28603.51, 28661.29, 28542.66, 28603.61
11/02/17, 28604.95, 28643.58, 28492.20, 28518.64
11/01/17, 28387.55, 28606.59, 28329.50, 28594.06
10/31/17, 28247.00, 28354.11, 28183.79, 28245.54
10/30/17, 28585.15, 28650.82, 28336.19, 28336.19
10/27/17, 28332.91, 28494.52, 28305.73, 28438.85
10/26/17, 28165.61, 28316.20, 28102.75, 28202.38
10/25/17, 28238.85, 28387.21, 28198.56, 28302.89
10/24/17, 28232.62, 28356.10, 28098.83, 28154.97
10/23/17, 28557.80, 28557.80, 28253.32, 28305.88
10/20/17, 28360.02, 28519.76, 28313.70, 28487.24
10/19/17, 28783.85, 28798.78, 28094.54, 28159.09
10/18/17, 28636.20, 28729.34, 28629.73, 28711.76
10/17/17, 28777.18, 28777.18, 28641.95, 28697.49
10/16/17, 28661.98, 28792.06, 28620.38, 28692.80
10/13/17, 28423.65, 28492.39, 28369.87, 28476.43
10/12/17, 28431.05, 28528.71, 28343.32, 28459.03
10/11/17, 28622.01, 28625.66, 28330.73, 28389.57
10/10/17, 28334.92, 28503.84, 28260.20, 28490.83
10/09/17, 28440.17, 28488.35, 28282.01, 28326.59
10/06/17, 28626.41, 28626.41, 28377.85, 28458.04
10/04/17, 28311.27, 28521.77, 28311.27, 28379.18
10/03/17, 27884.21, 28194.16, 27737.38, 28173.21
09/29/17, 27492.13, 27581.13, 27383.16, 27554.30
09/28/17, 27661.27, 27665.16, 27421.60, 27421.60
09/27/17, 27503.05, 27673.40, 27503.05, 27642.43
09/26/17, 27308.61, 27567.88, 27300.37, 27513.01
09/25/17, 27851.54, 27851.54, 27476.27, 27500.34
09/22/17, 27949.83, 27960.92, 27845.52, 27880.53
09/21/17, 28091.24, 28184.37, 28046.94, 28110.33
09/20/17, 28099.29, 28149.36, 28013.11, 28127.80
09/19/17, 28200.54, 28248.12, 28032.17, 28051.41
09/18/17, 27971.37, 28160.39, 27917.18, 28159.77
09/15/17, 27736.60, 27893.58, 27514.04, 27807.59
09/14/17, 27788.84, 27895.07, 27699.09, 27777.20
09/13/17, 27984.27, 27984.27, 27751.28, 27894.08
09/12/17, 28068.70, 28071.54, 27883.83, 27972.24
09/11/17, 27877.69, 27976.98, 27859.00, 27955.13
09/08/17, 27571.59, 27708.09, 27569.13, 27668.47
09/07/17, 27817.87, 27817.87, 27492.82, 27522.92
09/06/17, 27671.56, 27684.26, 27421.79, 27613.76
09/05/17, 27797.44, 27871.76, 27685.30, 27741.35
09/04/17, 27881.71, 27884.46, 27662.29, 27740.26
09/01/17, 28015.22, 28116.70, 27915.44, 27953.16
08/31/17, 27934.45, 27994.06, 27861.48, 27970.30
08/30/17, 27957.74, 28127.90, 27912.82, 28094.61
08/29/17, 27744.58, 27839.83, 27638.73, 27765.01
08/28/17, 27905.59, 28071.59, 27806.05, 27863.29
08/25/17, 27539.11, 27878.37, 27480.11, 27848.16
08/24/17, 27642.23, 27642.23, 27485.87, 27518.60
08/22/17, 27322.20, 27509.06, 27316.08, 27401.67
08/21/17, 27100.63, 27221.31, 27086.43, 27154.68
08/18/17, 26999.60, 27236.32, 26951.92, 27047.57
08/17/17, 27610.29, 27624.52, 27302.48, 27344.22
08/16/17, 27238.81, 27422.30, 27238.81, 27409.07
08/15/17, 27371.25, 27438.42, 27174.96, 27174.96
08/14/17, 27091.77, 27268.23, 27032.40, 27250.23
08/11/17, 27000.43, 27184.21, 26863.71, 26883.51
08/10/17, 27791.36, 27791.36, 27267.03, 27444.00
08/09/17, 27760.08, 27876.12, 27602.66, 27757.09
08/08/17, 27684.60, 27867.56, 27626.19, 27854.91
08/07/17, 27665.71, 27731.92, 27629.20, 27690.36
08/04/17, 27564.71, 27615.03, 27508.11, 27562.68
08/03/17, 27533.51, 27601.05, 27399.58, 27531.01
08/02/17, 27645.28, 27747.35, 27570.50, 27607.38
08/01/17, 27326.04, 27558.00, 27326.04, 27540.23
07/31/17, 27048.45, 27324.38, 27045.41, 27323.99
07/28/17, 27007.97, 27047.88, 26928.44, 26979.39
07/27/17, 27002.70, 27169.15, 26962.03, 27131.17
07/26/17, 26960.81, 27007.27, 26786.63, 26941.02
07/25/17, 26847.58, 26889.70, 26799.77, 26852.05
07/24/17, 26720.04, 26882.00, 26674.50, 26846.83
07/21/17, 26777.44, 26778.42, 26663.25, 26706.09
07/20/17, 26770.48, 26794.18, 26632.98, 26740.21
07/19/17, 26561.81, 26682.64, 26541.56, 26672.16
07/18/17, 26489.52, 26540.17, 26381.14, 26524.94
07/17/17, 26572.92, 26618.66, 26353.83, 26470.58
07/14/17, 26416.68, 26416.68, 26295.99, 26389.23
07/13/17, 26340.29, 26383.76, 26255.31, 26346.17
07/12/17, 25991.35, 26147.30, 25991.35, 26043.64
07/11/17, 25605.19, 25941.47, 25596.21, 25877.64
07/10/17, 25392.03, 25622.75, 25331.95, 25500.06
07/07/17, 25377.21, 25409.90, 25315.91, 25340.85
07/06/17, 25574.57, 25599.70, 25436.83, 25465.22
07/05/17, 25354.38, 25559.18, 25199.86, 25521.97
07/04/17, 25782.85, 25838.27, 25251.72, 25389.01
07/03/17, 25654.77, 25821.39, 25654.77, 25784.17
06/30/17, 25679.64, 25816.25, 25661.43, 25764.58
06/29/17, 25872.93, 25965.42, 25814.80, 25965.42
06/28/17, 25735.21, 25821.36, 25625.71, 25683.50
06/27/17, 25911.20, 25929.61, 25780.69, 25839.99
06/26/17, 25727.93, 25875.48, 25720.38, 25871.89
06/23/17, 25724.28, 25770.37, 25648.77, 25670.05
06/22/17, 25597.46, 25867.94, 25597.46, 25674.53
06/21/17, 25752.27, 25846.52, 25575.98, 25694.58
06/20/17, 26028.43, 26043.10, 25833.93, 25843.04
06/19/17, 25736.20, 25939.72, 25735.07, 25924.55
06/16/17, 25601.81, 25719.97, 25557.80, 25626.49
06/15/17, 25772.28, 25772.28, 25565.34, 25565.34
06/14/17, 25915.46, 25915.46, 25713.02, 25875.90
06/13/17, 25826.52, 25883.22, 25722.63, 25852.10
06/12/17, 25925.45, 25957.78, 25689.23, 25708.04
06/09/17, 26090.33, 26090.33, 25922.68, 26030.29
06/08/17, 25974.00, 26069.98, 25923.21, 26063.06
06/07/17, 26025.21, 26073.44, 25898.82, 25974.16
06/06/17, 25819.53, 26019.01, 25805.02, 25997.14
06/05/17, 25976.36, 25998.66, 25801.84, 25862.99
06/02/17, 25926.06, 25973.00, 25851.85, 25924.05
06/01/17, 25736.35, 25834.75, 25614.61, 25809.22
05/31/17, 25706.45, 25817.95, 25650.06, 25660.65
05/29/17, 25672.40, 25744.72, 25579.15, 25701.63
05/26/17, 25670.98, 25724.40, 25588.70, 25639.27
05/25/17, 25511.46, 25680.67, 25491.78, 25630.78
05/24/17, 25382.26, 25428.50, 25296.66, 25428.50
05/23/17, 25415.57, 25486.98, 25307.27, 25403.15
05/22/17, 25318.29, 25450.04, 25201.34, 25391.34
05/19/17, 25171.66, 25266.22, 25124.06, 25174.87
05/18/17, 25034.19, 25263.81, 25025.05, 25136.52
05/17/17, 25355.76, 25374.95, 25245.44, 25293.63
05/16/17, 25413.35, 25413.35, 25228.46, 25335.94
05/15/17, 25233.31, 25385.72, 25213.47, 25371.59
05/12/17, 25126.48, 25211.28, 25087.32, 25156.34
05/11/17, 25101.53, 25203.54, 25024.76, 25125.55
05/10/17, 24931.82, 25164.97, 24931.82, 25015.42
05/09/17, 24656.95, 24889.83, 24548.97, 24889.03
05/08/17, 24604.29, 24624.21, 24476.20, 24577.91
05/05/17, 24625.35, 24634.28, 24358.72, 24476.35
05/04/17, 24680.45, 24683.88, 24530.93, 24683.88
05/02/17, 24773.80, 24773.80, 24577.33, 24696.13
04/28/17, 24691.29, 24697.03, 24563.77, 24615.13
